NYSE Stock Exchange
"Wednesday, August 20, 2014 5:32 PM"

Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Knoll Inc.,KNL,18.43,18.52,18.30,18.48,-0.07,-0.38,"145,271",20.09,14.54,0.48,2.60,31.32,0.93
Knot Offshore Partners,KNOP,27.94,28.00,27.74,27.80,-0.01,-0.04,"23,640",29.89,23.01,1.74,6.26,20.99,-1.07
Knowles,KN,31.84,32.02,31.56,31.97,0.05,0.16,"675,924",33.66,27.55,...,...,...,11.43
Kodiak Oil&Gas,KOG,15.07,15.31,14.90,15.29,0.16,1.06,"3,803,202",16.25,9.53,...,...,31.85,36.40
Kohl's,KSS,57.84,59.20,57.61,58.88,1.14,1.97,"3,405,384",59.20,48.68,1.56,2.65,14.26,3.75
Konami ADS,KNM,23.58,23.73,23.58,23.73,-0.03,-0.12,"430",26.34,20.34,0.33,1.40,77.70,3.40
Koninklijke Philips ADS,PHG,30.20,30.36,30.16,30.29,-0.08,-0.26,"245,515",38.40,29.58,0.93,3.08,18.88,-18.07
Koppers Holdings,KOP,35.82,35.85,35.12,35.44,-0.52,-1.45,"63,686",49.99,34.68,1.00,2.82,38.52,-22.54
Korea Electric Power ADS,KEP,21.04,21.04,20.72,20.82,-0.68,-3.16,"194,068",21.52,12.75,...,...,12.53,25.35
Korn/Ferry International,KFY,30.36,30.49,30.01,30.18,-0.34,-1.11,"126,422",32.78,17.48,...,...,19.99,15.54
Kosmos Energy,KOS,10.00,10.03,9.88,10.00,0.03,0.30,"727,655",11.60,9.24,...,...,41.67,-10.55
Kraton Performance Polymers,KRA,19.75,19.99,19.66,19.98,0.18,0.91,"252,094",28.87,18.33,...,...,249.75,-13.32
Krispy Kreme Doughnuts,KKD,16.66,16.73,16.55,16.62,-0.06,-0.36,"462,495",26.63,14.82,...,...,30.78,-13.84
Kroger,KR,50.43,50.58,50.02,50.53,0.13,0.26,"1,909,400",51.49,35.13,0.66,1.31,16.84,27.83
Kronos Worldwide,KRO,15.78,15.89,15.66,15.82,0.05,0.32,"121,988",19.20,13.86,0.60,3.79,87.89,-16.96
KT Corp ADS,KT,16.99,17.03,16.96,17.02,-0.03,-0.18,"322,172",17.37,13.10,...,...,...,14.46
Kyocera ADS,KYO,47.65,47.90,47.45,47.65,-0.47,-0.98,"6,101",56.20,42.85,...,...,20.64,-4.97
L-3 Communications Holdings,LLL,107.67,109.38,107.25,109.28,1.53,1.42,"936,605",127.27,90.07,2.40,2.20,12.99,2.26
Laboratory of America Holdings,LH,105.40,106.32,105.00,106.15,0.35,0.33,"436,740",108.00,87.01,...,...,17.34,16.18
Laclede Group,LG,48.92,49.08,48.64,48.79,-0.18,-0.37,"158,432",49.13,42.84,1.76,3.61,17.94,7.14
Ladder Capital Cl A,LADR,18.36,18.48,18.25,18.27,-0.13,-0.71,"20,788",19.98,16.50,...,...,13.36,7.53
Landauer,LDR,35.50,36.66,35.30,35.64,-0.27,-0.75,"52,713",53.51,35.30,2.20,6.17,...,-32.26
Lannett,LCI,36.51,37.98,35.86,36.62,0.25,0.69,"1,140,157",51.66,12.39,...,...,34.55,10.63
La Quinta Holdings,LQ,19.81,19.81,19.37,19.60,-0.22,-1.11,"583,326",20.21,16.01,...,...,...,14.49
Laredo Petroleum,LPI,23.07,23.27,22.65,23.15,0.03,0.13,"3,203,617",34.60,22.65,...,...,52.79,-16.40
LaSalle Hotel Properties,LHO,36.02,36.48,35.78,36.43,0.38,1.05,"1,035,608",36.91,26.12,1.50,4.12,48.21,18.05
Las Vegas Sands,LVS,68.74,69.31,68.66,69.14,0.31,0.45,"2,632,110",88.28,54.36,2.00,2.89,21.27,-12.34
LATAM Airlines Group ADS,LFL,12.21,12.54,12.18,12.51,0.30,2.46,"508,159",17.39,11.46,...,...,...,-23.30
Lazard,LAZ,52.90,53.69,52.64,53.56,0.68,1.29,"530,040",54.10,33.62,1.20,2.24,23.49,18.18
La-Z-Boy,LZB,22.62,23.03,21.69,21.74,-1.48,-6.37,"1,745,735",31.22,20.56,0.24,1.10,20.90,-29.87
L Brands,LB,62.93,63.21,62.46,62.98,0.10,0.16,"2,591,526",67.16,50.78,1.36,2.16,19.87,1.83
LeapFrog Enterprises Cl A,LF,6.31,6.45,6.25,6.39,0.08,1.27,"535,385",10.84,5.96,...,...,6.20,-19.52
Lear Corp.,LEA,98.85,99.63,97.58,99.12,0.92,0.94,"913,232",100.58,68.26,0.80,0.81,17.57,22.42
Lee Enterprises,LEE,3.92,3.92,3.87,3.90,-0.06,-1.52,"119,431",5.42,2.35,...,...,...,12.39
Leggett&Platt,LEG,34.94,35.20,34.79,34.96,-0.25,-0.71,"798,440",35.21,28.00,1.24,3.55,47.89,12.99
Legg Mason,LM,48.58,48.92,48.40,48.78,...,...,"577,281",52.00,32.31,0.64,1.31,18.91,12.19
Lehigh Gas Partners,LGP,36.72,37.17,34.58,35.51,-1.26,-3.43,"128,548",38.65,25.50,2.09,5.89,47.25,24.16
Leidos Holdings,LDOS,37.40,37.64,37.20,37.51,0.01,0.03,"203,707",49.18,34.00,1.28,3.41,25.75,-19.32
Leju Holdings ADS,LEJU,14.09,16.72,13.77,16.35,1.74,11.91,"2,394,009",16.72,8.01,...,...,...,37.86
Lennar Cl A,LEN,38.63,39.14,38.49,39.00,0.20,0.52,"3,352,150",44.40,31.09,0.16,0.41,15.54,-1.42
Lennar Cl B,LENB,31.76,31.89,31.47,31.69,0.08,0.25,"13,086",36.56,25.38,0.16,0.50,12.63,-6.02
Lennox International,LII,84.76,85.39,84.71,85.06,-0.06,-0.07,"345,792",94.69,67.56,1.20,1.41,21.64,...
Lentuo International,LAS,2.78,2.78,2.59,2.78,0.03,1.09,"82,226",5.38,1.70,...,...,12.94,1.09
Leucadia National,LUK,24.82,25.04,24.82,24.94,0.04,0.16,"751,319",29.56,24.09,0.25,1.00,60.18,-12.00
Level 3 Communications,LVLT,41.89,42.36,41.87,42.33,0.44,1.05,"1,948,096",49.22,21.91,...,...,64.14,27.62
Lexington Realty Trust,LXP,10.96,11.02,10.86,10.99,...,...,"925,899",12.10,9.94,0.68,6.19,...,7.64
Lexmark International,LXK,50.71,51.12,50.61,50.74,-0.36,-0.70,"1,020,743",51.77,32.57,1.44,2.84,15.47,42.85
LG Display ADS,LPL,17.00,17.05,16.99,17.01,0.07,0.41,"70,991",17.05,10.46,...,...,26.14,40.12
Liberty Property Trust,LPT,35.24,35.56,35.08,35.50,0.15,0.42,"1,099,629",40.17,31.96,1.90,5.35,47.45,4.81
LifeLock,LOCK,14.31,14.40,14.18,14.32,-0.03,-0.21,"463,186",22.85,10.48,...,...,26.04,-12.74
Life Time Fitness,LTM,40.55,40.78,39.76,40.52,-0.49,-1.19,"491,392",56.78,38.01,...,...,13.83,-13.79
LightInTheBox Holding ADS,LITB,7.04,7.39,6.24,6.35,-0.56,-8.10,"754,006",12.86,4.61,...,...,...,-21.51
Lincoln National,LNC,52.65,53.58,52.65,53.33,0.49,0.93,"2,169,998",53.86,40.84,0.64,1.20,9.89,3.31
Lincoln National Wt,LNC%,44.00,44.82,44.00,44.65,0.55,1.25,"1,900",45.00,31.67,...,...,...,5.66
Lindsay,LNN,77.39,78.60,77.10,77.58,-0.03,-0.04,"147,025",92.93,71.13,1.08,1.39,19.78,-6.25
LinkedIn Cl A,LNKD,215.53,218.86,214.80,217.92,1.21,0.56,"1,076,182",257.56,136.02,...,...,...,0.50
LIN Media Cl A,LIN,23.55,24.52,23.45,24.03,0.63,2.69,"1,369,712",29.24,15.57,...,...,7.73,-16.30
Lions Gate Entertainment,LGF,32.68,32.91,32.53,32.63,-0.08,-0.24,"676,192",37.81,24.54,0.20,0.61,25.03,3.06
Lithia Motors Cl A,LAD,88.80,88.81,88.10,88.39,-0.61,-0.69,"256,333",97.20,53.57,0.64,0.72,18.89,27.33
Live Nation Entertainment,LYV,21.61,21.82,21.52,21.76,0.06,0.28,"724,104",25.28,16.70,...,...,...,10.12
Lloyds Banking Group ADS,LYG,5.02,5.05,5.01,5.04,0.02,0.40,"789,600",5.76,4.44,...,...,...,-5.26
Lockheed Martin,LMT,172.15,175.47,172.13,175.31,3.18,1.85,"1,343,789",175.47,121.52,5.32,3.03,17.57,17.93
Loews,L,42.33,42.77,42.18,42.72,0.41,0.97,"896,259",49.43,41.57,0.25,0.59,64.01,-11.44
Lorillard,LO,60.65,60.75,60.33,60.57,-0.26,-0.43,"1,893,975",67.46,41.71,2.46,4.06,19.95,19.51
Louisiana-Pacific,LPX,14.46,14.67,14.33,14.54,-0.04,-0.27,"2,966,141",18.96,12.71,...,...,484.67,-21.45
Lowe's,LOW,49.95,52.66,49.70,52.33,0.81,1.57,"18,295,962",52.66,44.13,0.92,1.76,23.26,5.61
LRR Energy,LRE,18.33,18.43,18.01,18.39,0.06,0.33,"110,180",20.11,14.67,1.98,10.77,...,7.99
LSB Industries,LXU,39.17,39.61,38.52,39.55,0.36,0.92,"185,262",42.41,29.39,...,...,12.72,-3.58
L.S. Starrett Cl A,SCX,15.84,16.46,15.79,16.36,0.38,2.38,"12,861",19.32,10.30,0.40,2.44,23.04,12.29
LTC Properties,LTC,40.63,40.98,40.30,40.96,0.21,0.52,"108,850",41.07,34.40,2.04,4.98,23.17,15.74
Luby's,LUB,5.30,5.32,5.29,5.32,...,...,"22,170",9.15,4.83,...,...,...,-31.09
Lumber Liquidators Holdings,LL,58.30,58.33,57.01,57.34,-1.29,-2.20,"490,640",119.98,52.76,...,...,22.05,-44.27
Luxfer Holdings ADS,LXFR,18.87,19.00,18.80,18.99,0.12,0.64,"16,504",22.05,15.85,0.40,2.11,16.39,-8.96
Luxoft Holding,LXFT,36.54,37.09,36.39,36.87,0.21,0.57,"61,663",43.56,22.51,...,...,25.97,-2.92
Luxottica Group ADS,LUX,52.39,52.57,51.75,51.79,-2.24,-4.15,"107,939",59.17,48.59,0.89,1.73,32.24,-3.95
Lydall,LDL,28.32,28.46,27.39,27.68,-0.73,-2.57,"41,503",29.66,15.29,...,...,22.14,57.09
LyondellBasell Industries,LYB,112.38,112.52,111.83,112.17,-0.03,-0.03,"1,719,497",112.52,67.67,2.80,2.50,14.73,39.72
Macerich,MAC,65.25,65.65,64.95,65.48,0.16,0.24,"883,773",68.81,55.13,2.48,3.79,80.93,11.19
Mack-Cali Realty,CLI,21.57,21.75,21.33,21.70,0.01,0.05,"448,456",23.23,19.05,0.60,2.76,...,1.02
Macquarie Infrastructure,MIC,71.19,71.54,70.83,71.44,0.29,0.41,"257,660",73.47,51.52,3.80,5.32,70.04,31.25
Macy's,M,58.84,60.57,58.75,60.09,1.14,1.93,"5,323,293",61.26,42.18,1.25,2.08,14.66,12.53
Magellan Midstream Partners,MMP,83.05,84.18,83.05,83.70,0.25,0.30,"461,514",86.72,51.93,2.56,3.06,27.00,32.29
MagnaChip Semiconductor,MX,12.79,12.96,12.66,12.74,-0.08,-0.62,"145,807",23.89,12.06,...,...,2.69,-34.67
Magna International,MGA,113.59,114.19,113.19,114.06,0.06,0.05,"304,472",114.19,75.45,1.52,1.33,13.98,39.00
Magnum Hunter Resources,MHR,6.57,6.71,6.50,6.63,0.06,0.91,"3,506,289",9.27,3.87,...,...,...,-9.30
Mallinckrodt,MNK,69.05,72.23,69.05,72.17,2.66,3.83,"5,160,182",83.20,41.67,...,...,62.18,38.10
Manchester United Cl A,MANU,17.68,17.68,17.33,17.63,-0.07,-0.40,"52,204",19.97,14.26,...,...,13.63,13.52
Manitowoc,MTW,28.20,28.47,28.13,28.38,0.08,0.28,"667,057",33.50,18.12,0.08,0.28,30.82,21.70
Manning&Napier,MN,17.71,17.87,17.51,17.82,0.03,0.17,"37,556",19.02,14.40,0.64,3.59,83.23,0.96
ManpowerGroup,MAN,78.45,78.69,77.89,78.26,-0.49,-0.62,"342,192",87.16,64.44,0.98,1.25,16.51,-8.85
Manulife Financial,MFC,19.89,20.05,19.79,19.98,0.08,0.40,"1,368,758",20.68,16.16,0.57,2.85,9.34,1.27
Marathon Oil,MRO,39.65,39.94,39.47,39.92,0.19,0.48,"3,797,124",40.74,31.57,0.84,2.10,13.46,13.09
Marathon Petroleum,MPC,91.31,91.93,90.75,91.30,-0.30,-0.33,"1,969,300",97.70,61.32,2.00,2.19,14.54,-0.47
Marcus,MCS,18.58,18.58,18.23,18.37,-0.29,-1.55,"36,319",19.97,12.24,0.38,2.07,19.94,36.68
Marcus&Millichap,MMI,27.65,28.18,27.46,27.85,0.04,0.14,"33,496",29.21,13.09,...,...,57.02,86.91
Marine Harvest ADS,MHG,13.33,13.46,13.31,13.42,0.03,0.22,"69,217",14.49,9.28,0.83,6.19,12.52,10.14
MarineMax,HZO,17.91,18.09,17.55,17.93,-0.07,-0.39,"137,373",18.15,11.17,...,...,37.27,11.50
Marine Products,MPX,8.06,8.12,8.02,8.05,-0.08,-0.98,"7,821",10.30,6.67,0.12,1.49,33.54,-19.90
Marin Software,MRIN,7.93,8.54,7.93,8.52,0.54,6.77,"462,806",14.31,7.30,...,...,...,-16.80
Markel,MKL,636.10,641.95,635.50,641.57,2.90,0.45,"27,501",666.00,508.62,...,...,31.78,10.55
MarkWest Energy Partners,MWE,75.60,76.84,75.55,76.48,0.87,1.15,"769,105",76.84,58.62,3.52,4.60,...,15.65
Marriott Vacations Worldwide,VAC,59.91,59.93,59.44,59.59,-0.51,-0.85,"128,652",60.82,42.27,...,...,24.19,12.95
Marsh&McLennan,MMC,52.07,52.26,51.99,52.16,0.01,0.02,"1,290,101",53.55,40.94,1.12,2.15,20.02,7.86
Martha Stewart Living Omnimedia,MSO,4.55,4.58,4.41,4.42,-0.16,-3.49,"73,344",5.50,2.20,...,...,110.50,5.24
Martin Marietta Materials,MLM,128.55,129.25,128.17,129.21,0.07,0.05,"481,755",136.36,94.01,1.60,1.24,41.15,29.29
Masco,MAS,23.14,23.45,23.08,23.37,0.18,0.78,"2,683,053",23.73,18.27,0.36,1.54,23.13,2.64
Masonite International,DOOR,56.24,56.85,56.19,56.39,-0.14,-0.25,"140,029",62.25,45.81,...,...,...,-6.02
MasTec,MTZ,29.11,29.32,28.75,29.29,0.15,0.51,"848,431",44.80,26.38,...,...,16.64,-10.48
MasterCard Cl A,MA,75.97,76.48,75.90,76.39,-0.01,-0.01,"2,598,770",84.75,60.36,0.44,0.58,27.48,-8.57
Matador Resources,MTDR,26.13,26.27,25.70,25.97,-0.16,-0.61,"404,237",29.94,15.26,...,...,23.61,39.32
Materion,MTRN,32.98,33.23,32.70,32.98,...,...,"105,603",39.38,25.21,0.34,1.03,25.97,6.90
Matson,MATX,27.11,27.19,26.75,27.00,-0.22,-0.81,"187,192",29.54,22.48,0.68,2.52,25.23,3.41
Maui Land&Pineapple,MLP,6.75,6.82,6.64,6.73,0.05,0.75,"4,573",9.41,4.01,...,...,...,10.51
Mavenir Systems,MVNR,11.69,11.88,11.25,11.53,-0.20,-1.71,"191,611",18.78,8.50,...,...,...,3.32
Maxcom Telecomunicaciones ADS,MXT,1.49,1.50,1.49,1.50,-0.05,-3.46,"2,308",3.02,1.40,...,...,...,-8.22
Maximus,MMS,41.22,41.68,40.95,41.51,0.08,0.19,"355,568",50.55,35.85,0.18,0.43,19.53,-5.64
MaxLinear,MXL,9.81,9.89,9.72,9.83,-0.03,-0.30,"110,288",11.32,7.47,...,...,...,-5.75
MBIA,MBI,10.37,10.44,10.21,10.29,-0.15,-1.44,"2,416,988",15.26,9.03,...,...,3.11,-13.82
McClatchy Cl A,MNI,4.53,4.56,4.42,4.46,-0.10,-2.19,"580,259",7.39,2.75,...,...,4.09,31.18
McCormick,MKC,69.18,69.53,69.07,69.37,...,...,"281,258",73.33,62.75,1.48,2.13,22.67,0.65
McCormick Com. Vtg.,MKCV,69.05,69.23,69.04,69.23,0.08,0.12,"886",73.04,62.33,1.48,2.14,22.63,0.69
McDermott International,MDR,7.45,7.51,7.41,7.45,-0.04,-0.53,"2,712,110",9.36,6.58,...,...,...,-18.67
McDonald's,MCD,94.45,94.66,94.00,94.19,-0.26,-0.28,"3,950,311",103.78,92.22,3.24,3.44,16.94,-2.93
McEwen Mining,MUX,2.81,2.82,2.75,2.77,-0.04,-1.42,"1,481,309",3.74,1.70,...,...,...,41.33
McGraw Hill Financial,MHFI,79.28,79.35,78.83,79.10,-0.27,-0.34,"1,697,513",84.81,58.23,1.20,1.52,22.61,1.15
McKesson,MCK,193.70,194.50,193.00,193.59,-0.60,-0.31,"474,765",196.44,120.17,0.96,0.50,35.89,19.94
M.D.C. Holdings,MDC,28.70,28.85,28.41,28.67,-0.15,-0.52,"569,798",33.20,25.89,1.00,3.49,14.12,-11.07
MDU Resources Group,MDU,31.02,31.36,30.90,31.35,0.31,1.00,"423,615",36.05,25.94,0.71,2.26,20.76,2.62
Mead Johnson Nutrition,MJN,94.59,95.00,94.12,94.48,0.11,0.12,"647,486",98.36,73.23,1.50,1.59,27.71,12.80
Meadowbrook Insurance Group,MIG,6.45,6.45,6.32,6.35,-0.11,-1.70,"82,310",7.46,5.24,0.08,1.26,32.53,-8.76
MeadWestvaco,MWV,42.81,42.81,42.30,42.44,-0.46,-1.07,"727,356",44.72,33.38,1.00,2.36,8.67,14.92
Mechel OAO ADS,MTL,1.84,1.85,1.77,1.79,-0.04,-2.19,"298,317",3.94,1.56,...,...,...,-30.08
Media General,MEG,17.24,19.11,17.21,18.44,1.20,6.96,"616,572",23.97,10.01,...,...,...,-18.41
Medical Properties Trust,MPW,13.82,13.96,13.68,13.95,0.10,0.72,"1,117,136",13.97,11.47,0.84,6.02,50.99,14.16
Medifast,MED,27.95,28.45,27.88,28.36,0.34,1.21,"214,547",34.40,23.02,...,...,16.78,8.53
Mednax,MD,56.81,57.07,56.33,56.35,-0.68,-1.19,"599,797",64.51,48.22,...,...,18.75,5.56
Medtronic,MDT,63.72,64.35,63.47,64.15,0.14,0.22,"5,963,792",65.50,51.22,1.22,1.90,21.45,11.78
Men's Wearhouse,MW,53.50,53.90,52.98,53.81,0.26,0.49,"522,915",59.09,32.46,0.72,1.34,39.57,5.34
Merck&Co,MRK,58.68,59.57,58.53,59.48,0.57,0.97,"6,726,006",59.84,44.62,1.76,2.96,30.98,18.84
Mercury General,MCY,50.65,50.99,50.28,50.96,0.10,0.20,"94,151",52.58,41.70,2.46,4.83,12.58,2.51
Meredith,MDP,46.65,46.83,45.96,46.00,-0.69,-1.48,"213,210",53.84,40.11,1.73,3.76,18.11,-11.20
Meritage Homes,MTH,41.49,42.15,41.39,42.06,0.26,0.62,"439,822",50.28,37.19,...,...,10.84,-12.36
Meritor,MTOR,14.04,14.22,13.93,14.06,-0.03,-0.21,"1,255,363",15.14,6.09,...,...,91.90,34.80
Mesabi Trust,MSB,19.35,19.46,19.14,19.22,-0.24,-1.23,"30,675",24.84,18.49,1.28,6.66,13.28,-13.66
Mesa Royalty Trust,MTR,29.94,30.59,29.50,30.30,0.46,1.54,"17,050",37.60,20.08,3.26,10.76,15.35,42.59
Methode Electronics,MEI,33.25,33.26,32.81,32.97,-0.36,-1.08,"136,059",38.57,17.01,0.36,1.09,13.12,-3.57
MetLife,MET,53.50,53.88,53.36,53.70,0.07,0.13,"3,264,017",57.57,45.52,1.40,2.61,13.70,-0.41
MetLife Inc. Un,MLU,31.10,31.11,31.06,31.06,0.02,0.06,"430,010",57.92,27.98,1.25,4.02,...,-1.52
Mettler-Toledo International,MTD,268.48,271.06,267.86,270.80,1.20,0.45,"75,548",271.06,217.82,...,...,25.21,11.63
MFA Financial,MFA,8.35,8.40,8.33,8.40,0.05,0.60,"1,176,244",8.50,7.01,0.80,9.52,10.63,18.98
MFC Industrial,MIL,7.60,7.76,7.52,7.76,0.11,1.44,"157,145",8.73,6.97,0.06,0.77,77.60,-2.88
MGIC Investment,MTG,8.32,8.34,8.16,8.20,-0.15,-1.80,"3,845,041",9.50,6.62,...,...,28.59,-2.84
MGM Resorts International,MGM,25.09,25.33,24.89,25.21,0.10,0.40,"4,821,844",28.75,17.19,...,...,86.93,7.19
Michael Kors Holdings,KORS,79.90,83.38,79.62,82.86,2.91,3.64,"3,927,401",101.04,70.59,...,...,23.28,2.06
Mid-America Apartment Communities,MAA,71.97,72.51,71.64,72.35,0.27,0.37,"232,145",75.09,59.23,2.92,4.04,115.26,19.11
Midcoast Energy Partners,MEP,21.72,21.88,21.21,21.31,-0.36,-1.66,"67,744",23.54,16.96,1.30,6.10,36.30,8.73
MidSouth Bancorp,MSL,18.70,18.81,18.51,18.70,-0.06,-0.32,"13,365",20.34,14.75,0.36,1.93,12.38,4.70
Midstates Petroleum,MPO,6.82,6.94,6.70,6.83,-0.03,-0.44,"313,951",7.50,4.13,...,...,...,3.17
M/I Homes,MHO,22.44,22.69,22.30,22.66,0.09,0.40,"150,999",26.30,17.82,...,...,3.43,-10.96
Millennial Media,MM,2.41,2.42,2.35,2.40,0.01,0.42,"711,365",8.44,2.32,...,...,...,-66.99
Miller Energy Resources,MILL,4.86,5.11,4.81,5.05,0.19,3.91,"492,063",8.97,4.40,...,...,...,-28.27
Miller Industries,MLR,19.37,19.47,19.16,19.33,-0.15,-0.77,"10,006",21.44,15.52,0.60,3.10,20.35,3.76
Mindray Medical International ADS,MR,32.37,32.39,32.04,32.07,-0.26,-0.80,"183,548",43.71,28.54,0.50,1.56,25.04,-11.80
Minerals Technologies,MTX,62.02,62.54,61.90,62.43,0.10,0.16,"90,297",67.35,43.66,0.20,0.32,27.50,3.93
Mistras Group,MG,20.97,21.18,20.60,20.98,-0.51,-2.37,"157,596",25.48,15.99,...,...,26.23,0.48
Mitsubishi UFJ Financial Group ADS,MTU,5.72,5.72,5.69,5.71,-0.06,-1.04,"611,947",6.74,5.19,...,...,8.57,-14.52
MiX Telematics ADS,MIXT,9.27,9.41,9.27,9.36,0.07,0.75,"19,737",16.82,9.02,...,...,21.65,-24.58
Mizuho Financial Group ADS,MFG,3.82,3.82,3.80,3.81,-0.03,-0.78,"77,222",4.52,3.78,...,...,7.85,-12.61
Mobile Telesystems ADS,MBT,19.07,19.18,18.72,19.00,-0.11,-0.58,"1,498,506",24.06,15.06,1.05,5.52,7.77,-12.16
Mobileye,MBLY,36.14,37.98,35.52,36.88,0.28,0.77,"1,930,562",41.50,31.11,...,...,...,-0.32
Model N,MODN,9.20,9.21,8.99,9.13,-0.16,-1.72,"119,316",17.45,7.55,...,...,...,-22.56
Modine Manufacturing,MOD,13.54,13.79,13.47,13.75,0.12,0.88,"129,491",17.51,10.79,...,...,4.92,7.25
Moelis,MC,34.32,34.62,33.12,33.49,-0.87,-2.53,"79,676",36.01,25.75,...,...,...,28.07
Mohawk Industries,MHK,144.54,146.38,144.01,146.04,0.74,0.51,"537,481",155.48,115.99,...,...,23.75,-1.92
Molina Healthcare,MOH,41.90,42.63,41.58,42.43,0.46,1.10,"718,340",47.22,31.10,...,...,194.08,22.10
Molson Coors Brewing Cl B,TAP,75.20,75.20,74.42,74.69,-0.52,-0.69,"633,587",75.61,48.18,1.48,1.98,19.45,33.02
Molycorp,MCP,2.03,2.07,1.93,1.94,-0.09,-4.43,"6,149,750",7.78,1.61,...,...,...,-65.48
Monmouth Real Estate Investment Cl A,MNR,10.63,10.70,10.57,10.67,0.03,0.28,"137,301",10.70,8.65,0.60,5.62,50.90,17.38
Monsanto,MON,119.91,121.00,119.65,120.92,1.09,0.91,"3,318,927",128.79,94.00,1.96,1.62,23.94,3.75
Monster Worldwide,MWW,5.59,5.71,5.53,5.71,0.12,2.15,"1,852,252",8.50,4.03,...,...,...,-19.92
Montpelier Re Holdings,MRH,30.53,30.63,30.47,30.56,-0.08,-0.26,"126,235",32.63,24.38,0.80,2.62,6.02,5.02
Moody's,MCO,91.61,92.20,91.23,91.90,0.52,0.57,"459,547",95.00,62.95,1.12,1.22,21.22,17.11
Moog Cl A,MOGA,68.15,69.96,68.15,68.79,-0.09,-0.13,"171,098",75.00,50.38,...,...,23.16,1.25
Moog Cl B,MOGB,68.89,68.89,68.89,68.89,0.15,0.22,"106",74.65,50.69,...,...,23.20,1.35
Morgan Stanley,MS,32.40,32.65,32.38,32.54,0.01,0.03,"4,205,451",33.60,25.25,0.40,1.23,15.00,3.76
Mosaic,MOS,47.05,47.40,46.92,47.36,0.25,0.53,"1,847,230",51.25,40.85,1.00,2.11,...,0.19
Motorola Solutions,MSI,61.32,61.80,61.26,61.64,0.27,0.44,"1,407,411",68.33,55.70,1.36,2.21,9.86,-8.68
Movado Group,MOV,42.87,43.55,42.61,43.17,0.16,0.37,"105,647",48.50,34.77,0.40,0.93,22.03,-1.91
MPLX,MPLX,63.47,64.42,61.31,62.19,-1.64,-2.57,"64,534",68.05,34.75,1.37,2.20,45.39,39.63
MRC Global,MRC,25.03,25.05,24.80,24.92,0.05,0.20,"1,288,475",32.70,24.11,...,...,20.26,-22.75
MSA Safety,MSA,55.62,55.67,54.94,55.50,-0.38,-0.68,"39,650",61.08,46.50,1.24,2.23,25.46,8.38
MSCI,MSCI,45.54,45.97,45.38,45.86,0.23,0.50,"340,362",47.42,37.17,...,...,18.64,4.89
MSC Industrial Direct,MSM,89.28,90.20,89.16,90.02,0.52,0.58,"239,299",96.62,74.87,1.32,1.47,24.60,11.31
M&T Bank,MTB,121.00,121.54,120.59,121.40,...,...,"351,535",125.90,109.16,2.80,2.31,16.58,4.28
M&T Bank WT,MTB%,47.48,47.48,47.48,47.48,-0.40,-0.84,"250",52.50,36.74,...,...,...,10.42
Mueller Industries,MLI,29.27,29.43,29.15,29.27,-0.15,-0.51,"99,878",32.13,26.50,0.30,1.02,14.21,-7.09
Mueller Water Products,MWA,9.23,9.29,9.13,9.26,-0.01,-0.11,"673,714",10.04,7.40,0.07,0.76,33.55,-1.17
Murphy Oil,MUR,60.49,60.66,60.05,60.61,0.13,0.21,"825,705",68.43,54.67,1.40,2.31,17.28,-6.58
Murphy USA,MUSA,53.31,54.69,53.23,54.66,1.26,2.36,"370,032",54.69,36.12,...,...,15.45,31.52
MV Oil Trust,MVO,26.95,26.95,26.65,26.79,-0.10,-0.38,"18,407",30.57,22.76,3.16,11.80,7.95,12.75
Myers Industries,MYE,19.15,19.24,18.99,19.09,-0.05,-0.26,"87,220",24.74,17.13,0.52,2.72,38.96,-9.61
Nabors Industries,NBR,25.93,26.00,25.66,25.82,-0.28,-1.07,"3,872,807",30.24,15.21,0.24,0.93,48.72,51.97
NACCO Industries Cl A,NC,53.80,55.10,53.80,54.52,-0.27,-0.49,"23,045",65.40,46.50,1.03,1.89,14.58,-12.33
Nam Tai Property,NTP,7.09,7.31,7.05,7.22,0.20,2.85,"240,792",8.70,5.30,0.08,1.11,...,1.12
National Bank Holdings,NBHC,20.40,20.60,20.35,20.54,0.08,0.39,"121,196",21.88,18.50,0.20,0.97,171.17,-4.02
National Bank of Greece ADS,NBG,3.32,3.35,3.25,3.31,0.03,0.91,"2,109,037",6.48,2.90,...,...,2.37,-40.89
National Fuel Gas,NFG,74.72,75.29,74.42,75.23,0.28,0.37,"252,351",78.79,64.65,1.54,2.05,21.73,5.36
National Grid ADS,NGG,73.60,74.19,73.44,74.19,0.85,1.16,"463,178",77.21,57.12,3.16,4.26,14.05,13.58
National Health Investors,NHI,63.92,64.28,63.39,64.25,0.06,0.09,"145,855",64.84,53.01,3.08,4.79,20.38,14.53
National Oilwell Varco,NOV,83.10,83.87,82.48,83.84,0.22,0.26,"2,244,267",86.41,63.66,1.84,2.19,14.31,16.97
National Presto Industries,NPK,65.61,65.75,64.26,64.65,-1.10,-1.67,"22,759",84.00,62.65,1.00,1.55,12.78,-19.69
National Retail Properties,NNN,37.65,37.99,37.49,37.84,0.25,0.67,"820,118",38.04,30.01,1.68,4.44,33.71,24.76
