NYSE Stock Exchange
"Wednesday, August 20, 2014 5:32 PM"

Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
BBVA Banco Frances ADS,BFR,10.74,10.90,9.79,10.22,-0.72,-6.58,"670,313",14.85,4.83,0.02,0.19,3.98,46.84
BBX Capital Cl A,BBX,18.97,18.97,18.54,18.62,-0.36,-1.90,"22,091",22.54,12.07,...,...,4.51,19.36
BCE,BCE,44.31,44.32,44.07,44.30,0.04,0.09,"785,598",46.70,40.11,2.26,5.11,17.97,2.33
Beazer Homes USA,BZH,18.31,18.88,18.21,18.70,0.33,1.80,"608,917",25.34,15.27,...,...,...,-23.42
Beazer Homes USA Inc. 7.50% Tangible Equity Un,BZT,28.85,29.29,28.71,29.29,0.44,1.53,"9,050",38.46,25.26,1.88,6.40,...,-21.68
Becton Dickinson,BDX,117.86,118.18,116.80,117.64,-0.58,-0.49,"750,000",120.66,96.73,2.18,1.85,23.39,6.47
Belden,BDC,71.89,72.75,71.41,72.45,0.18,0.25,"255,314",79.30,55.78,0.20,0.28,40.97,2.84
Belmond,BEL,12.59,12.81,12.47,12.70,0.10,0.79,"281,433",15.92,11.67,...,...,...,-15.95
Bemis,BMS,40.21,40.26,39.98,40.09,-0.12,-0.30,"380,499",41.58,37.01,1.08,2.69,18.14,-2.12
Benchmark Electronics,BHE,24.53,24.53,24.14,24.26,-0.27,-1.10,"176,424",26.06,21.66,...,...,9.82,5.11
Berkshire Hathaway Cl A,BRKA,202364.99,202600.00,201891.00,202388.00,-212.00,-0.10,"352",203355.00,163038.88,...,...,15.74,13.77
Berkshire Hathaway Cl B,BRKB,135.00,135.10,134.45,134.91,0.01,0.01,"2,328,316",135.85,108.12,...,...,15.74,13.79
Berkshire Hills Bancorp,BHLB,24.15,24.17,23.89,24.04,-0.25,-1.03,"82,328",27.86,22.06,0.72,3.00,20.37,-11.84
Berry Plastics Group,BERY,24.36,24.44,24.10,24.19,-0.28,-1.14,"358,724",26.50,18.09,...,...,47.43,1.68
Best Buy,BBY,30.61,31.36,30.45,31.34,0.59,1.92,"5,486,816",44.66,22.15,0.76,2.43,10.24,-21.41
B&G Foods,BGS,29.15,29.25,28.86,29.12,-0.07,-0.24,"188,556",37.66,27.35,1.36,4.67,22.93,-14.13
BHP Billiton ADS,BHP,70.76,71.54,70.71,71.03,1.00,1.43,"2,752,146",73.91,62.60,2.48,3.49,13.36,4.15
BHP Billiton ADS,BBL,65.78,66.33,65.72,66.02,0.80,1.23,"719,137",71.44,56.23,2.48,3.76,12.42,6.28
Biglari Holdings,BH,386.50,386.50,377.90,378.50,-7.99,-2.07,"12,489",484.48,366.84,...,...,4.08,-19.35
